Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
ldbd,conopt,L2,Standard,-396.4411,-396.4411,0.00%,1.86,2,ok,optimal
ldbd,conopt,L2,Transfer,-396.4411,-396.4411,0.00%,3.67,2,ok,optimal
ldbd,conopt,Linf,Standard,-398.1353,-398.1353,0.00%,6.36,3,ok,optimal
ldbd,conopt,Linf,Transfer,-396.4411,-396.4411,0.00%,3.98,2,ok,optimal
ldbd,ipopt,L2,Standard,-396.4411,-396.4411,0.00%,4.74,2,ok,optimal
ldbd,ipopt,L2,Transfer,-396.4411,-396.4411,0.00%,4.74,2,ok,optimal
ldbd,ipopt,Linf,Standard,-398.1353,-398.1353,0.00%,7.98,3,ok,optimal
ldbd,ipopt,Linf,Transfer,-396.4411,-396.4411,0.00%,7.79,2,ok,optimal
ldsda,conopt,L2,Standard,-inf,-396.4411,inf,2.11,1,ok,locallyOptimal
ldsda,conopt,L2,Transfer,-inf,-396.4411,inf,1.63,1,ok,locallyOptimal
ldsda,conopt,Linf,Standard,-inf,-398.1353,inf,6.77,2,ok,locallyOptimal
ldsda,conopt,Linf,Transfer,-inf,-396.4411,inf,2.96,1,ok,locallyOptimal
ldsda,ipopt,L2,Standard,-inf,-396.4411,inf,3.18,1,ok,locallyOptimal
ldsda,ipopt,L2,Transfer,-inf,-396.4411,inf,2.35,1,ok,locallyOptimal
ldsda,ipopt,Linf,Standard,-inf,-398.1353,inf,8.83,2,ok,locallyOptimal
ldsda,ipopt,Linf,Transfer,-inf,-396.4411,inf,3.92,1,ok,locallyOptimal
