tray,Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
4,ldbd,conopt,L2,Standard,-22.0312,-22.0312,0.00%,14.21,3,ok,optimal
4,ldbd,conopt,L2,Transfer,-23.3047,-23.3047,0.00%,23.04,2,ok,optimal
4,ldbd,conopt,Linf,Standard,-23.3047,-23.3047,0.00%,44.75,5,ok,optimal
4,ldbd,conopt,Linf,Transfer,-23.3047,-23.3047,0.00%,30.84,2,ok,optimal
4,ldbd,ipopt,L2,Standard,-22.0311,-22.0311,0.00%,16.58,3,ok,optimal
4,ldbd,ipopt,L2,Transfer,-23.3047,-23.3047,0.00%,31.73,2,ok,optimal
4,ldbd,ipopt,Linf,Standard,-23.3047,-23.3047,0.00%,52.33,5,ok,optimal
4,ldbd,ipopt,Linf,Transfer,-23.3047,-23.3047,0.00%,36.29,2,ok,optimal
4,ldsda,conopt,L2,Standard,-inf,-23.3047,inf,35.76,3,ok,locallyOptimal
4,ldsda,conopt,L2,Transfer,-inf,-23.3047,inf,22.46,2,ok,locallyOptimal
4,ldsda,conopt,Linf,Standard,-inf,-23.3047,inf,92.53,2,ok,locallyOptimal
4,ldsda,conopt,Linf,Transfer,-inf,-23.3047,inf,30.03,2,ok,locallyOptimal
4,ldsda,ipopt,L2,Standard,-inf,-23.3047,inf,41.42,3,ok,locallyOptimal
4,ldsda,ipopt,L2,Transfer,-inf,-23.3047,inf,31.01,2,ok,locallyOptimal
4,ldsda,ipopt,Linf,Standard,-inf,-23.3047,inf,114.61,2,ok,locallyOptimal
4,ldsda,ipopt,Linf,Transfer,-inf,-23.3047,inf,35.59,2,ok,locallyOptimal
5,ldbd,conopt,L2,Standard,-35.6106,-35.6106,0.00%,17.95,3,ok,optimal
5,ldbd,conopt,L2,Transfer,-52.7922,-52.7922,0.00%,32.80,2,ok,optimal
5,ldbd,conopt,Linf,Standard,-52.7922,-52.7922,0.00%,89.74,5,ok,optimal
5,ldbd,conopt,Linf,Transfer,-52.7922,-52.7922,0.00%,51.19,2,ok,optimal
5,ldbd,ipopt,L2,Standard,-35.6106,-35.6106,0.00%,54.22,3,ok,optimal
5,ldbd,ipopt,L2,Transfer,-52.7922,-52.7922,0.00%,73.59,2,ok,optimal
5,ldbd,ipopt,Linf,Standard,-52.7922,-52.7922,0.00%,137.00,7,ok,optimal
5,ldbd,ipopt,Linf,Transfer,-52.7922,-52.7922,0.00%,82.68,2,ok,optimal
5,ldsda,conopt,L2,Standard,-inf,-52.7922,inf,66.31,4,ok,locallyOptimal
5,ldsda,conopt,L2,Transfer,-inf,-52.7922,inf,32.69,2,ok,locallyOptimal
5,ldsda,conopt,Linf,Standard,-inf,-52.7922,inf,260.49,2,ok,locallyOptimal
5,ldsda,conopt,Linf,Transfer,-inf,-52.7922,inf,51.53,2,ok,locallyOptimal
5,ldsda,ipopt,L2,Standard,-inf,-52.7922,inf,96.68,4,ok,locallyOptimal
5,ldsda,ipopt,L2,Transfer,-inf,-52.7922,inf,73.94,2,ok,locallyOptimal
5,ldsda,ipopt,Linf,Standard,-inf,-52.7922,inf,322.09,2,ok,locallyOptimal
5,ldsda,ipopt,Linf,Transfer,-inf,-52.7922,inf,81.64,2,ok,locallyOptimal
6,ldbd,conopt,L2,Standard,-55.9875,-55.9875,0.00%,21.08,3,ok,optimal
6,ldbd,conopt,L2,Transfer,-122.4237,-122.4237,0.00%,47.46,3,ok,optimal
6,ldbd,conopt,Linf,Standard,-122.4237,-122.4237,0.00%,163.23,5,ok,optimal
6,ldbd,conopt,Linf,Transfer,-122.4237,-122.4237,0.00%,66.95,3,ok,optimal
6,ldbd,ipopt,L2,Standard,-55.9875,-55.9875,0.00%,22.46,3,ok,optimal
6,ldbd,ipopt,L2,Transfer,-122.4237,-122.4237,0.00%,87.93,3,ok,optimal
6,ldbd,ipopt,Linf,Standard,-122.4237,-122.4237,0.00%,269.60,4,ok,optimal
6,ldbd,ipopt,Linf,Transfer,-122.4237,-122.4237,0.00%,173.24,3,ok,optimal
6,ldsda,conopt,L2,Standard,-inf,-122.4237,inf,80.30,4,ok,locallyOptimal
6,ldsda,conopt,L2,Transfer,-inf,-122.4237,inf,39.99,2,ok,locallyOptimal
6,ldsda,conopt,Linf,Standard,-inf,-122.4237,inf,481.60,2,ok,locallyOptimal
6,ldsda,conopt,Linf,Transfer,-inf,-122.4237,inf,69.20,2,ok,locallyOptimal
6,ldsda,ipopt,L2,Standard,-inf,-122.4237,inf,173.62,4,ok,locallyOptimal
6,ldsda,ipopt,L2,Transfer,-inf,-122.4237,inf,66.67,2,ok,locallyOptimal
6,ldsda,ipopt,Linf,Standard,-inf,-122.4237,inf,580.56,2,ok,locallyOptimal
6,ldsda,ipopt,Linf,Transfer,-inf,-122.4237,inf,173.48,2,ok,locallyOptimal
7,ldbd,conopt,L2,Standard,-87.9790,-87.9790,0.00%,27.63,3,ok,optimal
7,ldbd,conopt,L2,Transfer,-160.0815,-160.0815,0.00%,91.13,4,ok,optimal
7,ldbd,conopt,Linf,Standard,-160.0815,-160.0815,0.00%,336.66,2,ok,optimal
7,ldbd,conopt,Linf,Transfer,-160.0815,-160.0815,0.00%,113.62,4,ok,optimal
7,ldbd,ipopt,L2,Standard,-87.9790,-87.9790,0.00%,47.76,3,ok,optimal
7,ldbd,ipopt,L2,Transfer,-160.0808,-160.0808,0.00%,378.43,4,ok,optimal
7,ldbd,ipopt,Linf,Standard,-160.0808,-160.0808,0.00%,1099.13,2,ok,optimal
7,ldbd,ipopt,Linf,Transfer,-160.0808,-160.0808,0.00%,829.57,4,ok,optimal
7,ldsda,conopt,L2,Standard,-inf,-160.0815,inf,108.06,4,ok,locallyOptimal
7,ldsda,conopt,L2,Transfer,-inf,-160.0815,inf,58.54,2,ok,locallyOptimal
7,ldsda,conopt,Linf,Standard,-inf,-160.0815,inf,1090.23,2,ok,locallyOptimal
7,ldsda,conopt,Linf,Transfer,-inf,-160.0815,inf,91.66,2,ok,locallyOptimal
7,ldsda,ipopt,L2,Standard,-inf,-160.0808,inf,658.77,4,ok,locallyOptimal
7,ldsda,ipopt,L2,Transfer,-inf,-160.0808,inf,185.37,2,ok,locallyOptimal
7,ldsda,ipopt,Linf,Standard,-inf,-160.0808,inf,2122.86,2,ok,locallyOptimal
7,ldsda,ipopt,Linf,Transfer,-inf,-160.0808,inf,670.89,2,ok,locallyOptimal
8,ldbd,conopt,L2,Standard,-142.1201,-142.1201,0.00%,36.17,3,ok,optimal
8,ldbd,conopt,L2,Transfer,-188.4495,-188.4495,0.00%,110.87,4,ok,optimal
8,ldbd,conopt,Linf,Standard,-188.4495,-188.4495,0.00%,669.32,3,ok,optimal
8,ldbd,conopt,Linf,Transfer,-188.4495,-188.4495,0.00%,142.87,4,ok,optimal
8,ldbd,ipopt,L2,Standard,-142.1201,-142.1201,0.00%,275.98,3,ok,optimal
8,ldbd,ipopt,L2,Transfer,-188.4495,-188.4495,0.00%,1402.33,4,ok,optimal
8,ldbd,ipopt,Linf,Standard,-188.4495,-188.4495,0.00%,2680.82,3,ok,optimal
8,ldbd,ipopt,Linf,Transfer,-188.4495,-188.4495,0.00%,1969.52,4,ok,optimal
8,ldsda,conopt,L2,Standard,-inf,-188.4495,inf,85.93,3,ok,locallyOptimal
8,ldsda,conopt,L2,Transfer,-inf,-188.4495,inf,48.18,2,ok,locallyOptimal
8,ldsda,conopt,Linf,Standard,-inf,-188.4495,inf,1542.09,2,ok,locallyOptimal
8,ldsda,conopt,Linf,Transfer,-inf,-188.4495,inf,74.41,2,ok,locallyOptimal
8,ldsda,ipopt,L2,Standard,-inf,-188.4495,inf,1087.35,3,ok,locallyOptimal
8,ldsda,ipopt,L2,Transfer,-inf,-188.4495,inf,918.29,2,ok,locallyOptimal
8,ldsda,ipopt,Linf,Standard,-inf,-188.4495,inf,4248.52,2,ok,locallyOptimal
8,ldsda,ipopt,Linf,Transfer,-inf,-188.4495,inf,1075.22,2,ok,locallyOptimal
9,ldbd,conopt,L2,Standard,-206.3604,-206.3604,0.00%,41.01,3,ok,optimal
9,ldbd,conopt,L2,Transfer,-212.0088,-212.0088,0.00%,138.10,4,ok,optimal
9,ldbd,conopt,Linf,Standard,-212.0088,-212.0088,0.00%,1415.09,4,ok,optimal
9,ldbd,conopt,Linf,Transfer,-212.0088,-212.0088,0.00%,203.06,4,ok,optimal
9,ldbd,ipopt,L2,Standard,-37.9697,-37.9697,0.00%,262.17,12,ok,optimal
9,ldbd,ipopt,L2,Transfer,100000000.0000,inf,inf,96.89,2,ok,optimal
9,ldbd,ipopt,Linf,Standard,-87.5339,-87.5339,0.00%,1169.20,10,ok,optimal
9,ldbd,ipopt,Linf,Transfer,100000000.0000,inf,inf,94.89,2,ok,optimal
9,ldsda,conopt,L2,Standard,-inf,-212.0088,inf,119.08,3,ok,locallyOptimal
9,ldsda,conopt,L2,Transfer,-inf,-212.0088,inf,63.77,2,ok,locallyOptimal
9,ldsda,conopt,Linf,Standard,-inf,-212.0088,inf,3205.00,2,ok,locallyOptimal
9,ldsda,conopt,Linf,Transfer,-inf,-212.0088,inf,98.87,2,ok,locallyOptimal
9,ldsda,ipopt,L2,Standard,-inf,-206.3604,inf,331.23,2,ok,locallyOptimal
9,ldsda,ipopt,L2,Transfer,-inf,-206.3604,inf,308.53,2,ok,locallyOptimal
9,ldsda,ipopt,Linf,Standard,-inf,-207.6261,inf,6978.89,2,ok,locallyOptimal
9,ldsda,ipopt,Linf,Transfer,-inf,-206.3604,inf,342.68,2,ok,locallyOptimal
