Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
bigm,baron,Unknown,Standard,-149.4899,-9.1775,1528.88%,-,-,ok,optimal
bigm,dicopt,Unknown,Standard,-72.3133,-12.7415,467.54%,-,-,ok,optimal
bigm,knitro,Unknown,Standard,-,-77.0577,nan%,-,-,ok,infeasible
enumerate,baron,Unknown,Standard,-inf,-9.1775,inf,900.23,1,ok,maxTimeLimit
enumerate,conopt,Unknown,Standard,-12.7415,-12.7415,0.00%,1.41,8,ok,optimal
enumerate,ipopth,Unknown,Standard,-12.7415,-12.7415,0.00%,1.56,8,ok,optimal
enumerate,knitro,Unknown,Standard,-12.7415,-12.7415,0.00%,1.56,8,ok,optimal
gloa,baron,Unknown,Standard,-12.7415,-12.7415,0.00%,904.27,1,ok,optimal
gloa,conopt,Unknown,Standard,-12.7415,-12.7415,0.00%,4.79,1,ok,optimal
gloa,ipopth,Unknown,Standard,-12.7415,-12.7415,0.00%,4.92,1,ok,optimal
gloa,knitro,Unknown,Standard,-12.7415,-12.7415,0.00%,5.03,1,ok,optimal
hull,baron,Unknown,Standard,-155.7590,-12.7415,1122.46%,-,-,ok,optimal
hull,dicopt,Unknown,Standard,-9.1775,-9.1775,0.00%,-,-,ok,optimal
hull,knitro,Unknown,Standard,-,-77.0577,nan%,-,-,ok,infeasible
ldsda,baron,L2,Standard,-inf,-9.1775,inf,900.21,1,ok,maxTimeLimit
ldsda,baron,Linf,Standard,-inf,-9.1775,inf,900.20,1,ok,maxTimeLimit
ldsda,conopt,L2,Standard,-inf,-12.7415,inf,1.31,3,ok,unknown
ldsda,conopt,Linf,Standard,-inf,-12.7415,inf,1.38,2,ok,unknown
ldsda,ipopth,L2,Standard,-inf,-12.7415,inf,1.57,3,ok,unknown
ldsda,ipopth,Linf,Standard,-inf,-12.7415,inf,1.54,2,ok,unknown
ldsda,knitro,L2,Standard,-inf,-12.7415,inf,1.50,3,ok,unknown
ldsda,knitro,Linf,Standard,-inf,-12.7415,inf,1.47,2,ok,unknown
loa,baron,Unknown,Standard,-12.7415,-12.7415,0.00%,903.19,1,ok,optimal
loa,conopt,Unknown,Standard,-12.7415,-12.7415,0.00%,4.51,1,ok,optimal
loa,ipopth,Unknown,Standard,-12.7415,-12.7415,0.00%,6.37,1,ok,optimal
loa,knitro,Unknown,Standard,-12.7415,-12.7415,0.00%,4.63,1,ok,optimal
